Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,Validity_Label,S2_S1_residual,S3_S1_residual,S3_S2_residual,Reference_Current_residual,S2_S1_residual_abs,S3_S1_residual_abs,S3_S2_residual_abs,S2_minus_S1,S3_minus_S1,S3_minus_S2,Voltage_Current,Sensor_S1_missing,Sensor_S2_missing,Sensor_S3_missing,Sensor_S4_missing
TRN-0889,16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,34.8501,Valid,1.3888781185432855,-0.6144740753254574,-2.3906653261946182,-2.0599382371992405,1.3888781185432855,0.6144740753254574,2.3906653261946182,1.5018000000000011,2.8719,1.370099999999999,1556.97596688,0,0,0,0
TRN-0820,21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,30.4762,Valid,0.5103945495608748,-0.35813037287775273,-0.6326767331712624,0.3204704006741572,0.5103945495608748,0.35813037287775273,0.6326767331712624,0.33830000000000027,3.6823000000000015,3.344000000000001,1769.9285471,0,0,0,0
TRN-0411,19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,46.8046,Valid,1.6344295398934605,-0.6155966226752199,-2.4099821451289927,-2.7753506336569984,1.6344295398934605,0.6155966226752199,2.4099821451289927,1.540099999999999,3.275400000000001,1.7353000000000023,2065.9865140800002,0,0,0,0
TRN-0754,22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,23.7153,Valid,-0.15819011081681822,-0.14438327177560595,0.2738575270042105,-0.853924841800147,0.15819011081681822,0.14438327177560595,0.2738575270042105,-0.2270000000000003,3.6972999999999985,3.924299999999999,1589.6327079,0,0,0,0
TRN-0707,13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,48.5994,Valid,2.3187943481996705,-1.300196137189884,-4.420901300723807,-2.6277747560970326,2.3187943481996705,1.300196137189884,4.420901300723807,2.561,1.928700000000001,-0.632299999999999,1470.23576992,0,0,0,0
TRN-0140,13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,,22.9154,Valid,0.6641649926079793,-0.439274754362744,-1.7247010592429088,-4.032322083065818,0.6641649926079793,0.439274754362744,1.7247010592429088,1.084200000000001,2.4284,1.344199999999999,1024.4126967900002,0,0,0,1
TRN-0881,21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,24.2957,Valid,-0.06387417414129537,0.06566070792602119,0.3094506263211052,0.051062878489151586,0.06387417414129537,0.06566070792602119,0.3094506263211052,-0.09270000000000067,3.8298000000000005,3.922500000000001,1485.8517114899998,0,0,0,0
TRN-0381,27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,20.8262,Valid,-1.5768411083999325,0.924734401651456,3.266852299932541,3.0886242795860746,1.5768411083999325,0.924734401651456,3.266852299932541,-1.7477,4.9628,6.7105,879.88833603,0,0,0,0
TRN-0095,27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,51.1599,Valid,1.0883417366812367,-0.6811408820790277,-1.0516079986296276,10.314530727420262,1.0883417366812367,0.6811408820790277,1.0516079986296276,0.48019999999999996,4.175900000000002,3.695700000000002,2651.3380308799997,0,0,0,0
TRN-0135,23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,18.4965,Invalid,6.320635263777939,11.564253408611478,2.2039871658004007,0.33877447145501804,6.320635263777939,11.564253408611478,2.2039871658004007,7.5109,12.744699999999998,5.233799999999999,885.37915328,0,0,0,0
TRN-0633,27.3166,35.2106,18.0,41.4065,15.4562,13.3195,20.1433,61.2734,18.9191,Valid,-1.9922196436256634,0.6995909034781818,3.525583897918864,0.92147392179983,1.9922196436256634,0.6995909034781818,3.525583897918864,-2.136700000000001,4.687099999999999,6.8238,961.83387596,0,0,0,0
TRN-0138,17.7127,48.0925,30.733,23.2218,11.7089,11.4861,14.8118,65.0676,17.5449,Valid,-0.5943005224846818,0.13578172805953415,0.49494112859175665,-1.848372261234843,0.5943005224846818,0.13578172805953415,0.49494112859175665,-0.22279999999999944,3.1029,3.3256999999999994,851.8480247500001,0,0,0,0
TRN-0591,10.2728,88.373,37.5953,58.4948,10.6857,12.8873,12.4997,83.903,31.5651,Valid,1.698307727894008,-0.8815014031278601,-3.575676234984641,-2.062105014293337,1.698307727894008,0.8815014031278601,3.575676234984641,2.201599999999999,1.814,-0.38759999999999906,907.8381544,0,0,0,0
TRN-0262,30.7232,28.9017,38.9336,45.1598,17.0465,14.7144,22.609,53.4406,22.15,Valid,-1.9528254488801107,1.1297773989954578,4.241154037146682,4.637445947575976,1.9528254488801107,1.1297773989954578,4.241154037146682,-2.3321000000000023,5.5625,7.894600000000002,887.95270944,0,0,0,0
TRN-0729,27.8122,59.7061,25.295,56.0876,17.8995,16.2175,22.741,53.7565,22.7879,Valid,-1.172903200023299,0.16698606305790875,2.487679908061402,1.2324733143622808,1.172903200023299,0.16698606305790875,2.487679908061402,-1.6819999999999986,4.8415,6.5234999999999985,1660.55799442,0,0,0,0
TRN-0307,30.2039,105.7357,25.4332,14.8461,20.5299,20.3649,25.1377,39.4088,47.2164,Valid,0.7615063752346956,-0.8254685398474777,-0.31587121422518294,-0.6842078919303063,0.7615063752346956,0.8254685398474777,0.31587121422518294,-0.1650000000000027,4.6077999999999975,4.7728,3193.63050923,0,0,0,0
TRN-0091,13.8779,70.3753,33.7208,28.7584,10.7783,12.0405,12.8023,60.3125,23.2446,Valid,0.7706743355783789,-0.6959592424357819,-2.2103795878689407,-1.4700611198213558,0.7706743355783789,0.6959592424357819,2.2103795878689407,1.2622,2.024000000000001,0.7618000000000009,976.6613758699999,0,0,0,0
TRN-0542,29.8252,29.6371,52.0927,40.8807,16.4051,14.7736,21.9869,50.5573,29.9678,Valid,-1.3480569353461629,1.329513879829424,3.5447860771626942,12.401643672222246,1.3480569353461629,1.329513879829424,3.5447860771626942,-1.6315000000000008,5.581799999999998,7.2132999999999985,883.93243492,0,0,0,0
TRN-0937,18.9717,104.0403,31.8576,48.305,15.2581,16.7679,18.2016,48.5457,45.3832,Valid,1.6256928425214259,-0.9890580031965079,-2.7420300772393063,-0.8334683911132075,1.6256928425214259,0.9890580031965079,2.7420300772393063,1.5098000000000003,2.9434999999999985,1.4336999999999982,1973.8213595099999,0,0,0,0
TRN-0092,22.8334,18.3011,31.7408,26.9067,12.3229,10.8597,16.5175,28.9254,17.4823,Valid,-1.7537417534829505,1.0630486142919864,2.9868978419092382,0.7576797307192038,1.7537417534829505,1.0630486142919864,2.9868978419092382,-1.4632000000000005,4.194599999999998,5.657799999999998,417.87633674000006,0,0,0,0
TRN-0268,31.5596,18.2128,38.845,24.4453,16.4547,13.878,22.1,70.4553,20.7222,Valid,-2.285900910295105,1.3791026750447806,4.7815104351640905,4.0048014224277715,2.285900910295105,1.3791026750447806,4.7815104351640905,-2.576699999999999,5.645300000000002,8.222000000000001,574.78868288,0,0,0,0
TRN-0782,16.2048,93.1196,42.8621,12.8741,13.1151,14.8764,15.7166,32.2974,36.8118,Valid,1.5772896064109148,-0.7438053259057718,-2.8544776630781783,-0.09587845924048821,1.5772896064109148,0.7438053259057718,2.8544776630781783,1.7613000000000003,2.6014999999999997,0.8401999999999994,1508.9844940799999,0,0,0,0
TRN-0919,22.6926,50.8001,43.6073,31.9818,14.0837,13.6443,18.1982,49.2786,21.2594,Valid,-0.4899791128691984,0.5053978104964614,1.1729365141135233,1.457435916975939,0.4899791128691984,0.5053978104964614,1.1729365141135233,-0.4394000000000009,4.1145,4.5539000000000005,1152.78634926,0,0,0,0
TRN-0053,26.4931,101.8024,42.852,30.4912,18.56,19.2644,22.9828,68.2684,48.1264,Valid,1.31588455765527,-0.44037299412301323,-1.091216204349987,4.030433783071331,1.31588455765527,0.44037299412301323,1.091216204349987,0.7043999999999997,4.422800000000002,3.7184000000000026,2697.06116344,0,0,0,0
TRN-0408,31.1979,55.0224,21.7758,25.6304,18.3841,16.3698,23.7608,30.0802,22.1385,Valid,-1.4302415335771208,0.5638916968252303,3.3164600060254763,1.5903034354942136,1.4302415335771208,0.5638916968252303,3.3164600060254763,-2.0142999999999986,5.3767,7.390999999999998,1716.58333296,0,0,0,0
TRN-0501,14.229,84.784,39.199,37.0993,11.9475,13.5096,14.4506,42.1564,30.3824,Valid,1.2218930746413381,-0.5277884073864136,-2.4056491718523088,-1.0435960621592564,1.2218930746413381,0.5277884073864136,2.4056491718523088,1.562100000000001,2.5031,0.940999999999999,1206.391536,0,0,0,0
TRN-0311,20.0873,84.2981,33.9545,11.1637,14.4518,15.2547,17.5092,45.2027,29.9962,Valid,0.803946169996415,-0.6526594148646296,-1.536442066007222,-1.1493912522849037,0.803946169996415,0.6526594148646296,1.536442066007222,0.8028999999999993,3.0573999999999995,2.2545,1693.32122413,0,0,0,0
TRN-0562,30.7015,55.1126,37.3272,53.9099,18.3063,16.9658,23.7367,31.425,23.8068,Valid,-0.7685352204334066,0.6398395276122741,2.544878300987282,3.2410776361510827,0.7685352204334066,0.6398395276122741,2.544878300987282,-1.3404999999999987,5.430399999999999,6.7708999999999975,1692.0394889,0,0,0,0
TRN-0126,27.1839,35.792,32.8674,28.726,15.6886,13.7668,20.7464,46.0688,20.623,Valid,-1.743595893600201,1.0056818168388162,3.5674330715348184,2.576566638324376,1.743595893600201,1.0056818168388162,3.5674330715348184,-1.9217999999999993,5.057800000000002,6.979600000000001,972.9661488,0,0,0,0
TRN-0676,28.9435,99.9672,33.2564,54.1579,20.242,19.9359,25.0693,38.6309,45.2288,Valid,0.5734636107066429,-0.5219548047555023,0.1534836587918882,2.7874004374463794,0.5734636107066429,0.5219548047555023,0.1534836587918882,-0.3061000000000007,4.8272999999999975,5.133399999999998,2893.4006532000003,0,0,0,0
TRN-0360,31.1338,64.9587,39.5961,9.0647,18.6229,17.3282,24.1833,48.479,28.4009,Valid,-0.6733801660491672,0.6791955762136936,2.537002006534564,5.45446735324612,0.6733801660491672,0.6791955762136936,2.537002006534564,-1.2947000000000024,5.560399999999998,6.8551,2022.41117406,0,0,0,0
TRN-0367,24.0314,97.8945,45.1767,31.2893,17.3437,18.1727,21.6014,52.8876,45.131,Valid,1.2531990307317074,-0.25902998461873494,-1.1038671955834616,4.46918518924803,1.2531990307317074,0.25902998461873494,1.1038671955834616,0.8290000000000006,4.257700000000003,3.4287000000000027,2352.5418873,0,0,0,0
TRN-0405,24.6143,33.6779,42.1612,26.794,14.0177,13.065,18.7117,,20.1763,Valid,-1.0124820851734349,1.102958258680669,2.4133352516290962,2.3032473992363798,1.0124820851734349,1.102958258680669,2.4133352516290962,-0.9527000000000001,4.694000000000001,5.646700000000001,828.95793397,0,0,0,1
TRN-0868,28.3339,101.6303,50.6215,7.7931,19.0319,19.8449,23.5519,54.1915,55.1412,Valid,1.4986322817107371,-0.47872853518765623,-1.2498426685134447,11.203596529834222,1.4986322817107371,0.47872853518765623,1.2498426685134447,0.8129999999999988,4.52,3.7070000000000007,2879.58275717,0,0,0,0
TRN-0020,9.4876,21.4776,37.3279,15.6388,6.1571,6.5039,8.2616,52.9346,13.5381,Valid,-0.6929362237959698,0.5750932986261512,0.20043818461438967,-3.435233364125434,0.6929362237959698,0.5750932986261512,0.20043818461438967,0.3468,2.1045,1.7576999999999998,203.77087776,0,0,0,0
TRN-0316,22.2248,47.0868,39.5367,20.27,13.0209,12.675,16.6458,61.0745,19.7399,Valid,-0.5427005079214791,0.30510632319801445,0.8368382121397566,0.48601063549502044,0.5427005079214791,0.30510632319801445,0.8368382121397566,-0.34589999999999854,3.624900000000002,3.9708000000000006,1046.4947126399998,0,0,0,0
TRN-0067,30.9408,29.3598,18.0356,35.4607,16.7021,13.7519,21.9045,43.0005,19.7801,Valid,-2.6225728324630495,0.8667095470790649,4.744228278026544,2.2342096935276174,2.6225728324630495,0.8667095470790649,4.744228278026544,-2.9502000000000024,5.202399999999997,8.1526,908.41569984,0,0,0,0
TRN-0317,25.933,70.3816,24.6378,10.6208,16.6609,15.9391,20.9687,48.0101,24.0015,Valid,-0.40032171592899957,-0.016305443559986088,1.0645700647237355,-0.7154332732107882,0.40032171592899957,0.016305443559986088,1.0645700647237355,-0.7218000000000018,4.307799999999997,5.0295999999999985,1825.2060328000002,0,0,0,0
TRN-0087,17.6142,31.0902,47.58,51.1189,10.8589,10.9508,3.2181,51.1091,20.3176,Invalid,-0.3893578707305352,-10.38206762119332,-10.426855389068784,2.643902270785251,0.3893578707305352,10.38206762119332,10.426855389068784,0.09189999999999898,-7.6408000000000005,-7.7326999999999995,547.62900084,0,0,0,0
TRN-0801,11.2999,91.5588,48.8199,21.2042,10.7983,13.3691,12.9707,43.4485,39.321,Valid,2.0818199164626527,-0.552844943035451,-3.709253687796135,3.5401145448722176,2.0818199164626527,0.552844943035451,3.709253687796135,2.5708,2.1724000000000014,-0.39839999999999876,1034.60528412,0,0,0,0
TRN-0012,30.2939,43.3171,28.5824,30.3499,17.0338,15.1496,22.2573,38.2619,21.3846,Valid,-1.506837834425255,0.7943615717536545,3.343499582424009,2.6000219094398105,1.506837834425255,0.7943615717536545,3.343499582424009,-1.8841999999999999,5.223500000000001,7.107700000000001,1312.24389569,0,0,0,0
TRN-0578,30.4866,60.5018,36.4074,15.0767,18.0583,16.8822,23.2278,38.5682,23.1545,Valid,-0.6425352105889992,0.44974217853149767,2.1408223710164798,1.40708876486665,0.6425352105889992,0.44974217853149767,2.1408223710164798,-1.1760999999999981,5.169499999999999,6.3455999999999975,1844.49417588,0,0,0,0
TRN-0859,16.4487,20.9785,23.3935,58.5618,9.8089,8.7051,12.9031,61.0478,15.4105,Valid,-1.7169224997425836,0.6290630518179814,2.0775142109347353,-1.5249979986062758,1.7169224997425836,0.6290630518179814,2.0775142109347353,-1.1037999999999997,3.0942000000000007,4.198,345.06905294999996,0,0,0,0
TRN-0533,17.5311,72.927,28.746,36.0802,12.6016,13.0752,,56.541,23.5153,Invalid,0.22026981098512444,,,-2.1632175852581597,0.22026981098512444,,,0.47360000000000113,,,1278.4905297,0,0,1,0
